session_id,timestamp,game_id,hand_num,street,hero_cards,board,hero_position,pot_size,amount_to_call,stack,equity_pct,pot_odds_pct,ev_pct,decision,opp_vpip,opp_pfr,opp_af,result_dollars,result_bb,showdown_seen,stack_start,stack_end
b4887478,2026-06-08T21:41:17,720518d5d97c54122666ed5c9b0168,1,RIVER,4s 6c,7h Kd 6c 3c 9c,CO,100.0,0.0,59950,35.6,0.0,,Fold,,,,,,,,
b4887478,2026-06-08T21:41:20,,2,FLOP,4s 6c,Ts Qh Jc,CO,100.0,0.0,59950,13.55,0.0,,Check,,,,,,,,
b4887478,2026-06-08T21:41:27,,2,TURN,4s 6c,Ts Qh Jc Kc,CO,100.0,0.0,59950,13.4,0.0,,Check,,,,,,,,
b4887478,2026-06-08T21:41:39,79cb7d178060079e69a4e6c3a33304,3,RIVER,7d 8c,Ts Qh Jc Kc 9d,UTG,125.0,25.0,510025,41.75,16.67,25.08,Call,,,,,,,,
b4887478,2026-06-08T21:41:54,,4,RIVER,7d 8c,Ts Qh Jc Kc 9d,UTG,550.0,200.0,510000,40.55,26.67,13.88,Fold,,,,,,,,
b4887478,2026-06-08T21:41:56,,4,PREFLOP,7d 8c,,UTG,750.0,200.0,59800,0.0,21.05,-21.05,Fold,,,,,,,,
b4887478,2026-06-08T21:41:57,,4,FLOP,7d 8c,Js Qs 5h,UTG,750.0,200.0,59800,21.26,21.05,0.21,Call,,,,,,,,
b4887478,2026-06-08T21:42:31,e372fdb50c76c175044f99e9c13839,5,RIVER,Th Ts,Js Qs 5h Qh 8d,BTN,575.0,50.0,59800,68.95,8.0,60.95,Raise_Pot,,,,,,,,
b4887478,2026-06-08T21:42:48,,6,FLOP,Th Ts,6h Ac 2d,BTN,150.0,50.0,59750,70.4,25.0,45.4,Call,,,,,,,,
b4887478,2026-06-08T21:42:53,,6,TURN,Th Ts,6h Ac 2d 3h,BTN,150.0,50.0,59750,69.6,25.0,44.6,Raise_Half,,,,,,,,
b4887478,2026-06-08T21:43:00,,6,RIVER,Th Ts,6h Ac 2d 3h 5c,BTN,400.0,250.0,59750,63.6,38.46,25.14,Raise_Half,,,,,,,,
b4887478,2026-06-08T21:43:17,,6,FLOP,Kc Kh,4d 5c Qc,CO,100.0,250.0,59450,79.15,71.43,7.72,Call,,,,,,,,
b4887478,2026-06-08T21:43:22,,6,TURN,Kc Kh,4d 5c Qc 2s,CO,100.0,250.0,59450,78.7,71.43,7.27,Call,,,,,,,,
b4887478,2026-06-08T21:43:32,,6,RIVER,Kc Kh,4d 5c Qc 2s 3h,CO,300.0,200.0,59450,58.5,40.0,18.5,Call,,,,,,,,
b4887478,2026-06-08T21:43:41,ef90dUc952347e98113a39a6a305bc,7,RIVER,Kd 7s,4d 5c Qc 2s 3h,UTG,125.0,25.0,59225,13.26,16.67,-3.41,Fold,,,,,,,,
b4887478,2026-06-08T21:43:44,,8,RIVER,Kd 7s,4d 5c Qc 2s 3h,UTG,150.0,25.0,59200,13.11,14.29,-1.18,Fold,,,,,,,,
b4887478,2026-06-08T21:43:45,,8,PREFLOP,Kd 7s,,UTG,150.0,25.0,59200,0.0,14.29,-14.29,Fold,,,,,,,,
b4887478,2026-06-08T21:43:45,,8,FLOP,Kd 7s,5s Qs 4h,UTG,150.0,25.0,59200,37.55,14.29,23.26,Call,,,,,,,,
b4887478,2026-06-08T21:43:50,,8,TURN,Kd 7s,5s Qs 4h Kc,UTG,150.0,25.0,59200,82.2,14.29,67.91,Raise_Half,,,,,,,,
b4887478,2026-06-08T21:43:58,,8,RIVER,Kd 7s,5s Qs 4h Kc 3h,UTG,150.0,25.0,59200,80.5,14.29,66.21,Call,,,,,,,,
b4887478,2026-06-08T21:44:10,daedcIdOZaabef5szalabe14d58920,9,RIVER,9h 8d,5s Qs 4h Kc 3h,BTN,575.0,50.0,59350,8.35,8.0,0.35,Call,,,,,,,,
b4887478,2026-06-08T21:44:42,,10,FLOP,As 4s,Jc 9s 3s,CO,150.0,50.0,593000,62.35,25.0,37.35,Call,,,,,,,,
b4887478,2026-06-08T21:45:00,,10,TURN,As 4s,8s Ts 7d 9h,CO,450.0,150.0,59250,37.8,25.0,12.8,Call,,,,,,,,
b4887478,2026-06-08T21:45:10,,10,RIVER,As 4s,8s Ts 7d 9h Th,CO,800.0,200.0,59100,14.25,20.0,-5.75,Call,,,,,,,,
b4887478,2026-06-08T21:45:30,,10,PREFLOP,5h 6c,,UTG,150.0,25.0,58850,0.0,14.29,-14.29,Fold,,,,,,,,
b4887478,2026-06-08T21:45:30,,10,FLOP,5h 6c,Ad Qc 6s,UTG,150.0,25.0,58850,55.55,14.29,41.26,Call,,,,,,,,
b4887478,2026-06-08T21:45:37,,10,TURN,5h 6c,Ad Qc 6s Jc,UTG,150.0,25.0,58850,47.8,14.29,33.51,Call,,,,,,,,
b4887478,2026-06-08T21:45:46,,10,RIVER,5h 6c,Ad Qc 6s Jc Th,UTG,150.0,25.0,58850,29.3,14.29,15.01,Fold,,,,,,,,
b4887478,2026-06-08T21:46:04,89b07a5a63aea063e7121a110fd229,11,RIVER,Qd 3s,Ad Qc 6c Jc Th,BTN,575.0,50.0,58850,50.65,8.0,42.65,Call,,,,,,,,
b4887478,2026-06-08T21:46:32,23bfc52477e5a7d75841030412094c,12,TURN,As Kd,9s 8s Kh As,CO,100.0,50.0,58800,62.15,33.33,28.82,Call,,,,,,,,
b4887478,2026-06-08T21:46:38,,13,FLOP,As Kd,2d 5d Js,CO,100.0,50.0,58800,50.5,33.33,17.17,Call,,,,,,,,
b4887478,2026-06-08T21:46:46,,13,TURN,As Kd,2d 5d Js Tc,CO,100.0,50.0,58800,43.15,33.33,9.82,Call,,,,,,,,
b4887478,2026-06-08T21:47:08,ee3334dfd6756b38cd40362c9ad1e4,14,RIVER,Kd 6h,2d 5d Js Tc 9c,UTG,125.0,25.0,58925,19.51,16.67,2.84,Fold,,,,,,,,
b4887478,2026-06-08T21:47:11,,15,PREFLOP,Kd 6h,,UTG,150.0,25.0,58900,0.0,14.29,-14.29,Fold,,,,,,,,
b4887478,2026-06-08T21:47:12,,15,FLOP,Kd 6h,8s 8c Ac,UTG,150.0,25.0,58900,41.85,14.29,27.56,Fold,,,,,,,,
b4887478,2026-06-08T21:47:22,,15,TURN,Kd 6h,8s 8c As Qd,UTG,150.0,25.0,58900,39.15,14.29,24.86,Fold,,,,,,,,
b4887478,2026-06-08T21:47:30,,15,RIVER,Kd 6h,8s 8c As Qd 2h,UTG,150.0,25.0,58900,40.1,14.29,25.81,Call,,,,,,,,
b4887478,2026-06-08T21:47:40,cb22dc282b84eeb55b266c43276715,16,RIVER,7c 2c,8s 8c As Qd 2h,BTN,575.0,50.0,58900,48.2,8.0,40.2,Call,,,,,,,,
b4887478,2026-06-08T21:48:06,f978e671377867eOce44d36ec2311f,17,RIVER,4h Qs,4d 8s Qc 4c 2d,CO,575.0,50.0,58900,98.0,8.0,90.0,Call,,,,,,,,
